LiaisonId,Code
19653,1713
19654,1714
19655,1715
19656,1716
19657,1717
19658,1718
19660,1719
19661,1720
19662,1721
19663,1722
19711,1723
19712,1724
19717,1725
19718,1726
20069,1727
20070,1728
20071,1729
20072,1730
20073,1731
20074,1732
20075,1733
20076,1734
20077,1735
20078,1736
20080,1737
20081,1738
20084,1739
20086,1740
20088,1741
20121,1742
20123,1743
20124,1744
20128,1745
20129,1746
20130,1747
20131,1748
20133,1749
20136,1750
20137,1751
20150,1752
20151,1753
20152,1754
20153,1755
20154,1756
20155,1757
20156,1758
20161,1759
20163,1760
20165,1761
20202,1762
20204,1763
20205,1764
20209,1765
20210,1766
20211,1767
20212,1768
20214,1769
20217,1770
20218,1771
20231,1772
20232,1773
20233,1774
20234,1775
20235,1776
20236,1777
20237,1778
20242,1779
20244,1780
20246,1781
20280,1782
20282,1783
20283,1784
20287,1785
20288,1786
20289,1787
20290,1788
20292,1789
20296,1790
20309,1791
20311,1792
20314,1793
20315,1794
20319,1795
20320,1796
20322,1797
20324,1798
20375,1799
20377,1800
20378,1801
20382,1802
20383,1803
20384,1804
20385,1805
20387,1806
20391,1807
20404,1808
20406,1809
20408,1810
20409,1811
20410,1812
20414,1813
20415,1814
20417,1815
20419,1816
20473,1817
20475,1818
20476,1819
20480,1820
20481,1821
20482,1822
20483,1823
20485,1824
20489,1825
20502,1826
20503,1827
20504,1828
20505,1829
20506,1830
20507,1831
20508,1832
20513,1833
20515,1834
20517,1835
20551,1836
20553,1837
20554,1838
20558,1839
20559,1840
20560,1841
20561,1842
20563,1843
20567,1844
20580,1845
20582,1846
20585,1847
20591,1848
20593,1849
20595,1850
20649,1851
20651,1852
20652,1853
20656,1854
20657,1855
20658,1856
20659,1857
20661,1858
20664,1859
20665,1860
20678,1861
20679,1862
20680,1863
20681,1864
20682,1865
20683,1866
20689,1867
20691,1868
20693,1869
20729,1870
20730,1871
20734,1872
20739,1873
20742,1874
20756,1875
20758,1876
20760,1877
20761,1878
20762,1879
20766,1880
20767,1881
20769,1882
20771,1883
20795,1884
20796,1885
20797,1886
20798,1887
20799,1888
20800,1889
20815,1890
20816,1891
20818,1892
20819,1893
20820,1894
20821,1895
20822,1896
20823,1897
20824,1898
20825,1899
20826,1900
20827,1901
20828,1902
20829,1903
20830,1904
20831,1905
20832,1906
20833,1907
20834,1908
20836,1909
20837,1910
20838,1911
20841,1912
20842,1913
20844,1914
21066,1915
21113,1916
21119,1917
21122,1918
21124,1919
21125,1920
21127,1921
21128,1922
21165,1923
21168,1924
21169,1925
21170,1926
21171,1927
21173,1928
21174,1929
21208,1930
21209,1931
21211,1932
21217,1933
21218,1934
21220,1935
21227,1936
21228,1937
21229,1938
21235,1939
21236,1940
21238,1941
21246,1942
21247,1943
21253,1944
21254,1945
21255,1946
21256,1947
21257,1948
21260,1949
21262,1950
21263,1951
21278,1952
21292,1953
21296,1954
21299,1955
21303,1956
21304,1957
21316,1958
21361,1959
21364,1960
21365,1961
21369,1962
21371,1963
21373,1964
21374,1965
21376,1966
21377,1967
21378,1968
21379,1969
21380,1970
21381,1971
21382,1972
21383,1973
21391,1974
21415,1975
21417,1976
21418,1977
21420,1978
21421,1979
21422,1980
21423,1981
21486,1982
21488,1983
21489,1984
21493,1985
21496,1986
21498,1987
21502,1988
21515,1989
21516,1990
21517,1991
21555,1992
21557,1993
21558,1994
21562,1995
21563,1996
21564,1997
21567,1998
2157,1999
21571,2000
21584,2001
21680,2002
21724,2003
21726,2004
21729,2005
21886,2006
21895,2007
2209,2008
2212,2009
22318,2010
22319,2011
22320,2012
22321,2013
22322,2014
22323,2015
22324,2016
22325,2017
22326,2018
22327,2019
22328,2020
22329,2021
22330,2022
22331,2023
22332,2024
22333,2025
22334,2026
22335,2027
22336,2028
22337,2029
22338,2030
22339,2031
22340,2032
22341,2033
22342,2034
22343,2035
22344,2036
22345,2037
22346,2038
22347,2039
22348,2040
22349,2041
22350,2042
22351,2043
22352,2044
22353,2045
22354,2046
22355,2047
22356,2048
22357,2049
22358,2050
22359,2051
22360,2052
22361,2053
22362,2054
22363,2055
22364,2056
22365,2057
22366,2058
22367,2059
22368,2060
22369,2061
22370,2062
22371,2063
22372,2064
22373,2065
22374,2066
22375,2067
22376,2068
22377,2069
22378,2070
22379,2071
22380,2072
22381,2073
22382,2074
22383,2075
22384,2076
22385,2077
22386,2078
22387,2079
22388,2080
22389,2081
22390,2082
22391,2083
22392,2084
22393,2085
22394,2086
22395,2087
22396,2088
22397,2089
22398,2090
22399,2091
22400,2092
22401,2093
22402,2094
22403,2095
22404,2096
22405,2097
22406,2098
22407,2099
22408,2100
22409,2101
22410,2102
22411,2103
22412,2104
22413,2105
22414,2106
22415,2107
22416,2108
22417,2109
22418,2110
22419,2111
22420,2112
22421,2113
22422,2114
22423,2115
22424,2116
22425,2117
22426,2118
22427,2119
22428,2120
22429,2121
22430,2122
22431,2123
22432,2124
22433,2125
22553,2126
22554,2127
22556,2128
22557,2129
22558,2130
22559,2131
22560,2132
22561,2133
22562,2134
22565,2135
22566,2136
22567,2137
22568,2138
22569,2139
22570,2140
22571,2141
22572,2142
22573,2143
22574,2144
22575,2145
22576,2146
22577,2147
22578,2148
22580,2149
22581,2150
22582,2151
22597,2152
22598,2153
22599,2154
22600,2155
22601,2156
22602,2157
22603,2158
22604,2159
22605,2160
22606,2161
22607,2162
22608,2163
22609,2164
22616,2165
22620,2166
22621,2167
22626,2168
22627,2169
22643,2170
22651,2171
22664,2172
22666,2173
22668,2174
22670,2175
22671,2176
22676,2177
22678,2178
22681,2179
22978,2180
22979,2181
22980,2182
22981,2183
23027,2184
23028,2185
23041,2186
23042,2187
23043,2188
23044,2189
23045,2190
23046,2191
23051,2192
23052,2193
23053,2194
23054,2195
23055,2196
23056,2197
23059,2198
23060,2199
23061,2200
23062,2201
23078,2202
