Date,LiaisonId,TauxVenteGuichet,Prediction,ErreurAbsolue,JourSemaine,Seuil,EstAnomalie
2025-09-09,16482,0.3,0.31656938008849245,0.016569368167563492,1,0.1377235246086606,False
2025-09-10,16482,0.22222222,0.3661465494249617,0.14392432554705492,2,0.1377235246086606,True
2025-09-11,16482,0.40298507,0.3921653369245183,0.01081972925094249,3,0.1377235246086606,False
2025-09-12,16482,0.2857143,0.35866843157865685,0.07295413309194726,4,0.1377235246086606,False
2025-09-13,16482,0.4611399,0.3637890015858607,0.09735088598547414,5,0.1377235246086606,False
2025-09-14,16482,0.48043478,0.3944772613663714,0.08595751398610663,6,0.1377235246086606,False
2025-09-17,16482,0.41463414,0.3983677049484445,0.016266433397273905,2,0.1377235246086606,False
2025-09-18,16482,0.37096775,0.39497795175483874,0.024010205973893917,3,0.1377235246086606,False
2025-09-19,16482,0.38333333,0.3954029570195791,0.012069631633531752,4,0.1377235246086606,False
2025-09-20,16482,0.38659793,0.3822596997449259,0.004338231640114376,5,0.1377235246086606,False
2025-09-21,16482,0.42696628,0.3969996879543258,0.029966591790776154,6,0.1377235246086606,False
2025-09-22,16482,0.4949495,0.39307325417889427,0.10187623565303017,0,0.1377235246086606,False
2025-09-25,16482,0.39490446,0.39485155577835324,5.290870490787247e-05,3,0.1377235246086606,False
2025-09-26,16482,0.34502923,0.3819192375094725,0.03689000262330305,4,0.1377235246086606,False
2025-09-27,16482,0.45070422,0.3953286739296659,0.055375543027426366,5,0.1377235246086606,False
2025-09-28,16482,0.41573033,0.3948962127649967,0.02083411460278589,6,0.1377235246086606,False
2025-09-29,16482,0.3448276,0.39294414289521196,0.04811655052231767,0,0.1377235246086606,False
2025-09-30,16482,0.2872928,0.3331659829274653,0.045873174633169034,1,0.1377235246086606,False
2025-10-01,16482,0.39655173,0.39736004628370397,0.0008083180351077801,2,0.1377235246086606,False
2025-10-02,16482,0.4642857,0.3848387754106963,0.07944692610259413,3,0.1377235246086606,False
