TypeTitre,Date,Observe,Tendance,Saisonnalite,Residu
B,2025-09-25,0.14291033,0.11239118398238417,0.02932890430980059,0.001190243195470883
B,2025-09-26,0.46700865,0.11231085040197941,-0.0071797665001184065,0.361877566401026
B,2025-09-27,0.14816007,0.11153416456409754,0.03598469589254619,0.0006412097242492198
B,2025-09-28,0.11017947,0.11016458439388187,0.000198607690017053,-0.00018372309452666102
B,2025-09-29,0.13723382,0.10921788189125659,-0.011757747625019197,0.03977368927158914
B,2025-09-30,0.47451448,0.10899950347507414,-0.019422459526693907,0.38493744045713735
B,2025-10-01,0.14493649,0.1090721445515041,-0.03365548492743754,0.06951982745460011
B,2025-10-02,0.089784026,0.10930995627757609,0.025487841121014664,-0.045013771252655696
B,2025-10-03,0.106889986,0.1089600563702362,0.003376442939441305,-0.005446513807911307
B,2025-10-04,0.089162745,0.10801524495788196,0.03388648350817086,-0.052738983884353455
B,2025-10-05,0.12183795,0.11110294322545484,0.009862297376465642,0.0008727106410032492
B,2025-10-06,0.102675185,0.11605714807384483,-0.005263875402560325,-0.008118088063778714
B,2025-10-07,0.09541356,0.1208116748866333,-0.028558305189933502,0.0031601884884007586
B,2025-10-08,0.11501091,0.1253216211192026,-0.045112075915379996,0.03480136453233387
B,2025-10-09,0.1414882,0.12983884957115088,0.009174667266761532,0.0024746776277247973
B,2025-10-10,0.4631715,0.13472080099848655,0.0052845045607788745,0.3231662063292386
B,2025-10-11,0.1578727,0.13983250938288022,0.0135227939750207,0.004517403293786693
B,2025-10-12,0.13820142,0.14485956014215984,0.007661545233557333,-0.014319689836929328
B,2025-10-13,0.4602705,0.14967667027446085,0.08640952217250109,0.22418430177567905
B,2025-10-14,0.14321247,0.15477419996695013,-0.05994943085852072,0.04838769832359269
B,2025-10-15,0.08691686,0.1627980596138604,-0.07535258257671734,-0.0005286205694192136
B,2025-10-16,0.09030276,0.17377477105621808,-0.025267729863659754,-0.058204283273723637
B,2025-10-17,0.12886955,0.1834481306471176,0.08058125342347232,-0.13515983563061035
B,2025-10-18,0.12535985,0.19329009080627418,-0.012954195727585901,-0.05497604693701805
B,2025-10-19,0.14105248,0.20369160688651694,-5.7323820704630415e-05,-0.0625817985534832
B,2025-10-20,0.1211288,0.2140841597014049,0.14744661562707467,-0.24040197779735165
B,2025-10-21,0.13092022,0.22464510863362555,-0.08954989121924417,-0.0041750009732269
B,2025-10-22,0.14177597,0.23430000376144092,-0.10376328182258483,0.011239243751756695
B,2025-10-23,0.18556334,0.24423099274039975,-0.0557461349341749,-0.002921517023105641
B,2025-10-24,0.4873919,0.2541390641611786,0.12090739520551884,0.11234542972860895
B,2025-10-25,0.22558337,0.2636436280176684,-0.03422875078670037,-0.0038315027306933813
B,2025-10-26,0.52176905,0.273094215186466,-0.003928963373966851,0.25260379497094815
B,2025-10-27,0.50607413,0.2825800987763012,0.21648000446876442,0.007014027290060121
B,2025-10-28,0.17676197,0.2920959198815661,-0.11726024461219518,0.0019262946546022008
B,2025-10-29,0.16474397,0.301610842612959,-0.13129379993759455,-0.005573067870486226
B,2025-10-30,0.44660217,0.3111017538607913,-0.08671971808618645,0.22222012992440032
B,2025-10-31,0.4833941,0.320570003962354,0.1622638567176275,0.0005602256809498773
C,2023-11-01,0.13477303,0.022884993046964248,0.00021960717692116842,0.11166843065322794
C,2023-11-02,0.20332016,0.02247804429443419,-0.00026333154541465745,0.18110544775913628
C,2023-11-03,0.042495,0.022069458593169597,-0.0031391430733288756,0.023564685587613578
C,2023-11-04,0.022348363,0.021660275019696244,0.0009849381847280485,-0.0002968502519535149
C,2023-11-05,0.019787155,0.02125327097948696,-0.0012419745871692347,-0.00022414130055518552
C,2023-11-06,0.027640762,0.020855762052041538,0.00505392573113669,0.001731074024382693
C,2023-11-07,0.018847996,0.020476889421148656,-0.0017314095878167338,0.00010251653567232635
C,2023-11-08,0.019209748,0.02011341213422519,8.280828660570207e-05,-0.0009864722868139011
C,2023-11-09,0.018282834,0.01977807681993208,-0.0008049962914349378,-0.0006902460880273999
C,2023-11-10,0.016554186,0.019514245028571547,-0.0022271167336542497,-0.0007329421742879871
C,2023-11-11,0.020893542,0.01938059600451275,0.0011807074403654757,0.00033223865114056367
C,2023-11-12,0.01940651,0.01938038514179764,-0.00035196776976761945,0.0003780931449711318
C,2023-11-13,0.020339744,0.01942631682288571,0.0034140059924738465,-0.002500578649819816
C,2023-11-14,0.017116804,0.019430008259975436,-0.0012892155497433292,-0.0010239890343421362
C,2023-11-15,0.021008002,0.01938077304905148,-0.00015183757110624513,0.001779066162493799
C,2023-11-16,0.020669645,0.019325072915468162,-0.0013506039019173203,0.0026951756849497924
C,2023-11-17,0.018283378,0.019256596627219513,-0.0014591508227681158,0.00048593252840192086
C,2023-11-18,0.020333655,0.019143008500345716,0.0014082592693754506,-0.0002176125911742613
C,2023-11-19,0.018928051,0.018945271810511245,0.0005604307714006725,-0.0005776515870388708
C,2023-11-20,0.01982414,0.018648343862480925,0.0018286652788913566,-0.0006528693675266102
C,2023-11-21,0.018974563,0.01836456998715047,-0.0008936466357619524,0.0015036397555059748
C,2023-11-22,0.017255183,0.018176170686668037,-0.0003568954125819031,-0.0005640919647694996
C,2023-11-23,0.014464382,0.01805865495499683,-0.0017049134266355463,-0.001889359446137391
C,2023-11-24,0.017966012,0.017991130147858112,-0.0008012950978510023,0.0007761764890944906
C,2023-11-25,0.014951443,0.017971667917285283,0.001639277291730552,-0.004659501909364689
C,2023-11-26,0.019589504,0.018041070021280088,0.001499269764024792,4.916444173731771e-05
C,2023-11-27,0.018187914,0.018216578680530858,0.0005528104569834482,-0.0005814750938493742
C,2023-11-28,0.017388454,0.018493834720744978,-0.00031699940495102306,-0.0007883816086949949
C,2023-11-29,0.017929,0.01882458846199679,-0.0009056524960710127,1.0064814060604249e-05
C,2023-11-30,0.024299733,0.019174015217754303,-0.002078086987725708,0.007203805110711607
C,2023-12-01,0.019148106,0.019542450461943237,-0.0006591910254618379,0.0002648463189669423
C,2023-12-02,0.021890933,0.019886902205046703,0.0021484417293755526,-0.00014441124034476546
C,2023-12-03,0.022748647,0.02017075926330939,0.001813019704875216,0.0007648682895010535
C,2023-12-04,0.02152133,0.020353849694535367,0.0001458949935642674,0.001021585191661109
C,2023-12-05,0.020456145,0.020411486602722108,-1.1999489045945834e-05,5.665747252931938e-05
C,2023-12-06,0.019020706,0.02033563426729273,-0.0016987095714307329,0.0003837817193143925
C,2023-12-07,0.01869941,0.02015397553600611,-0.0023521691433839443,0.0008976030475376338
C,2023-12-08,0.01808076,0.01986864938053652,-0.000662417143988346,-0.0011254724430281998
C,2023-12-09,0.022119949,0.01953059137925625,0.002320047503540554,0.0002693097576689299
C,2023-12-10,0.02276994,0.01918341692343739,0.0008201443611329274,0.002766377869816202
C,2023-12-11,0.016606208,0.018862194633701715,-0.0003979900418503389,-0.0018579966548491929
C,2023-12-12,0.0153790545,0.0186435601974456,0.003641933787119965,-0.006906439512715171
C,2023-12-13,0.015315962,0.018511538545471103,-0.0029161837939690525,-0.0002793927274689807
C,2023-12-14,0.014824633,0.01842674145951587,-0.0030561756046745604,-0.0005459332995949549
C,2023-12-15,0.024542898,0.01843030416470553,0.0007583702574122668,0.005354223517564212
