LiaisonId,TypeTitre,liaison_frequence,liaison_cible_encodage_controles,interaction_jour_liaison_controles
14347,B,1462,20.49193,20.49193
14347,C,1462,20.49193,20.49193
1435,B,69,20.49193,20.49193
1435,C,69,20.49193,20.49193
14350,B,39,20.49193,20.49193
14350,C,39,20.49193,20.49193
14352,B,38,20.49193,20.49193
14352,C,38,20.49193,20.49193
14354,B,21,20.49193,20.49193
14354,C,21,20.49193,20.49193
14355,B,27,20.49193,20.49193
14355,C,27,20.49193,20.49193
14356,B,501,20.49193,20.49193
14356,C,501,20.49193,20.49193
14357,B,423,20.49193,20.49193
14357,C,423,20.49193,20.49193
14358,B,1257,20.49193,20.49193
14358,C,1257,20.49193,20.49193
14359,B,69,20.49193,20.49193
14359,C,69,20.49193,20.49193
14360,B,144,20.49193,20.49193
14360,C,144,20.49193,20.49193
14361,B,1344,20.49193,20.49193
14361,C,1344,20.49193,20.49193
14362,B,1,20.49193,20.49193
14363,B,2,20.49193,20.49193
14363,C,2,20.49193,20.49193
14365,B,4,20.49193,20.49193
14367,B,38,20.49193,20.49193
14367,C,38,20.49193,20.49193
14369,B,208,20.49193,20.49193
14369,C,208,20.49193,20.49193
14371,B,113,20.49193,20.49193
14371,C,113,20.49193,20.49193
14373,B,99,20.49193,20.49193
14373,C,99,20.49193,20.49193
14375,B,49,20.49193,20.49193
14375,C,49,20.49193,20.49193
14378,B,549,20.49193,20.49193
14378,C,549,20.49193,20.49193
14379,B,1293,20.49193,20.49193
14379,C,1293,20.49193,20.49193
14380,B,535,20.49193,20.49193
14380,C,535,20.49193,20.49193
14384,B,288,20.49193,20.49193
14384,C,288,20.49193,20.49193
14385,B,947,20.49193,20.49193
14385,C,947,20.49193,20.49193
14386,B,652,20.49193,20.49193
14386,C,652,20.49193,20.49193
14387,B,541,20.49193,20.49193
14387,C,541,20.49193,20.49193
14388,B,1202,20.49193,20.49193
14388,C,1202,20.49193,20.49193
14389,B,1264,20.49193,20.49193
14389,C,1264,20.49193,20.49193
14390,B,1262,20.49193,20.49193
14390,C,1262,20.49193,20.49193
14391,B,832,20.49193,20.49193
14391,C,832,20.49193,20.49193
14392,B,747,20.49193,20.49193
14392,C,747,20.49193,20.49193
14394,B,937,20.49193,20.49193
14394,C,937,20.49193,20.49193
14431,B,1198,20.49193,20.49193
14431,C,1198,20.49193,20.49193
14432,B,566,20.49193,20.49193
14432,C,566,20.49193,20.49193
14436,B,400,20.49193,20.49193
14436,C,400,20.49193,20.49193
14437,B,365,20.49193,20.49193
14437,C,365,20.49193,20.49193
14438,B,197,20.49193,20.49193
14438,C,197,20.49193,20.49193
14439,B,596,20.49193,20.49193
14439,C,596,20.49193,20.49193
14440,B,959,20.49193,20.49193
14440,C,959,20.49193,20.49193
14441,B,1035,20.49193,20.49193
14441,C,1035,20.49193,20.49193
14442,B,461,20.49193,20.49193
14442,C,461,20.49193,20.49193
14443,B,380,20.49193,20.49193
14443,C,380,20.49193,20.49193
14445,B,813,20.49193,20.49193
14445,C,813,20.49193,20.49193
14448,B,75,20.49193,20.49193
14448,C,75,20.49193,20.49193
14449,B,166,20.49193,20.49193
14449,C,166,20.49193,20.49193
14450,B,42,20.49193,20.49193
14450,C,42,20.49193,20.49193
14453,B,17,20.49193,20.49193
14453,C,17,20.49193,20.49193
14454,B,2,20.49193,20.49193
14454,C,2,20.49193,20.49193
14455,B,22,20.49193,20.49193
14455,C,22,20.49193,20.49193
14457,B,11,20.49193,20.49193
14457,C,11,20.49193,20.49193
14458,B,14,20.49193,20.49193
14458,C,14,20.49193,20.49193
14459,B,208,20.49193,20.49193
14459,C,208,20.49193,20.49193
14460,B,157,20.49193,20.49193
14460,C,157,20.49193,20.49193
14461,B,565,20.49193,20.49193
14461,C,565,20.49193,20.49193
14462,B,41,20.49193,20.49193
14462,C,41,20.49193,20.49193
14463,B,74,20.49193,20.49193
14463,C,74,20.49193,20.49193
14464,B,564,20.49193,20.49193
14464,C,564,20.49193,20.49193
14465,B,1,20.49193,20.49193
